category,star,degree,branch,code,aux_num,verse,mansion28,seven_governors
虛,陽,7,午,虛陽7午,1.0,三刻生人文業成，父入泮水到黌宮。子折丹桂登雲路，一聲轟雷萬里鳴。,,
虛,陽,8,寅,虛陽8寅,9.0,運行甲寅主榮昌，職位遷陞姓名揚。家門康泰沐恩寵，庫滿箱盈米滿倉。,,
虛,陽,9,午,虛陽9午,6.0,太陽纏虛九度遊，分宮過度母屬猴。父命庚相必屬馬，滔滔福氣水東流。,,
虛,陽,10,午,虛陽10午,3.0,時逢炎陽盛夏天，蟬鳴枝上叫聲喧。生辰六月初五日，薰風送暑喜連連。,,
虛,陽,11,戌,虛陽11戌,10.0,七刻生人姻緣良，燕語鶯聲效鳳凰。夫妻庚相同屬鼠，一對鴛鴦水底眠。,,
虛,陽,13,戌,虛陽13戌,8.0,庭前榴花滿樹鮮，閏四月生半夏天。二十三日身降世，紫燕雙雙畫樑間。,,
虛,陽,15,戌,虛陽15戌,5.0,太陽過戌少光明，手足宮中女命豐。姐妹六人你三位，原來不是一母生。,,
虛,陽,16,戌,虛陽16戌,2.0,莫怨男女不順情，豈知枯木遇春風。四十七嵗母生你，晚景又喜鎮家聲。,,
虛,龍,2,丑,虛龍2丑,9.0,四刻生人最為良，父子同標明倫堂。有志三秋魁虎榜，鉄硯磨穿姓名揚。,,
虛,龍,4,丑,虛龍4丑,5.0,龍星纏虛丑宮遊，父命屬牛母屬猴。椿萱並茂安然樂，雙雙有壽到白頭。,,
虛,龍,5,丑,虛龍5丑,3.0,時到仲夏暑正逢，百草芬芳花正紅。生辰五月初十日，晚景福壽更豐隆。,,
虛,龍,6,巳,虛龍6巳,7.0,生逢四刻定姻緣，交頸鴛鴦池塘眠。夫妻庚相同屬馬，朝朝同歡畫堂前。,,
虛,龍,8,巳,虛龍8巳,6.0,春風擺柳生萌芽，紫竹林中笋又發。撫養父母恩甚重，生月閏三二十八。,,
虛,龍,10,酉,虛龍10酉,4.0,大運癸酉命若何，定主破財凶事多。身邊疾病時常有，下五年來保安和。,,
虛,龍,10,巳,虛龍10巳,10.0,度入巳宮化蛟龍，推算妝台清又清。姐妹七人你身二，原來不是一母生。,,
虛,龍,11,巳,虛龍11巳,1.0,恩星入宮化為奇，蟠桃枝上子結實。母年生你四十二，堪作庭前丹桂枝。,,
虛,龍,12,酉,虛龍12酉,2.0,五十五六有憂驚，破財疾病人不寧。跤龍出水遭火炭，猛虎離山被犬欺。,,
虛,龍,14,酉,虛龍14酉,8.0,鴛鴦交結配成雙，忽然驚散兩分張。合主蘭房孤又苦，堅心守節效孟光。,,
虛,羅,3,寅,虛羅3寅,3.0,運臨丙寅到此間，破財口舌事纏綿。若到下五寅字管，平安和順財漸添。,,
虛,羅,4,午,虛羅4午,10.0,小限流年太歲纏，六月七月有牽連。破財口舌多煩惱，待交八月始平安。,,
虛,羅,5,寅,虛羅5寅,1.0,四十一二如雲濛，事事不遂若虛驚。雪霜堆積三竿日，桃李花開遇狂風。,,
虛,羅,7,午,虛羅7午,6.0,羅星過度七數窮，星宿參商不容情。父命屬馬必先喪，母命屬鼠享遐齡。,,
虛,羅,7,寅,虛羅7寅,8.0,粉妝梨花幾度春，命主剋夫不由人。鴛鴦失偶已三次，四度堅牢是前姻。,,
虛,羅,9,午,虛羅9午,4.0,丙日生逢癸巳時，猶如紅日照東風。蟾宮折桂身榮顯，光宗耀祖換門庭。,,
虛,羅,12,午,虛羅12午,7.0,運交戊午顯豪強，廣施善政姓名揚。職位高遷添喜氣，倉廩豐滿有餘糧。,,
虛,羅,12,戌,虛羅12戌,9.0,七刻生人命必高，父遊泮水浪滔滔。子步青雲折月桂，褒封三代逞英豪。,,
虛,羅,13,戌,虛羅13戌,5.0,羅星纏虛度數求，號為孤星母屬猴。十三過度父屬狗，難得相守到白頭。,,
虛,羅,14,戌,虛羅14戌,2.0,寒來暑往望秋風，蟬聲不住聒聒鳴。生逢六月二十五，母子相逢喜更榮。,,
軫,土,3,丑,軫土3丑,6.0,鴛鴦交頸綠水邊，清美荷花勝芝蘭。妻宮屬牛丁丑相，澗下水命同喜歡。,,
軫,土,5,丑,軫土5丑,4.0,梅梢月上竹更清，朔月凜凜正仲冬。十一月內初九日，始見雙親福祿榮。,,
軫,土,7,丑,軫土7丑,8.0,三刻鴻雁正當空，同氣連枝七弟兄。雙親位上先去父，定有石皮在其中。,,
軫,土,7,巳,軫土7巳,9.0,金風送暑盼春光，霜寒冷露顯芙蓉。閏九月生二十七，梧桐將殘翠竹青。,,
軫,土,9,巳,軫土9巳,2.0,七刻生人定命清，此理推算不非輕。命中四子傳家業，福祿禎祥喜重重。,,
軫,土,10,巳,軫土10巳,10.0,命宮生在八刻中，雲遊四海觀世音。衣祿十方千家供，看經念佛作一僧。,,
軫,土,11,酉,軫土11酉,3.0,庭前丹桂正清秋，秋至定主五果成。長子屬羊先出籠，龍子鳳孫振家基。,,
軫,土,12,巳,軫土12巳,7.0,夫妻和合效孟光，蘭房屬豬正芬芳。月老注定姻緣簿，蟠桃枝上桂花香。,,
軫,土,13,酉,軫土13酉,1.0,土入酉宮喜相生，父命屬雞樂恩榮。人生八字先天定，母命屬兔立長生。,,
軫,土,15,酉,軫土15酉,5.0,園林丹桂喜成行，雨露逢春枝葉香。竇氏傳家五個子，定主長子屬豬郎。,,
軫,文,2,子,軫文2子,8.0,南極注壽不堪分，魄散魂飛少精神。孤舟入海風浪起，二十五歲命歸陰。,,
軫,文,4,子,軫文4子,5.0,運行庚子喜亨通，門楹吉慶稱心情。出入財求皆得意，家道禎祥福祿增。,,
軫,文,6,子,軫文6子,3.0,月老千里配姻緣，身傍嫩枝結子先。外郡庶室生一子，異常喜事降人間。,,
軫,文,6,辰,軫文6辰,6.0,姻緣配合與日時，荷花雨打葉青枝。妻宮屬龍庚辰相，白臘金命福壽奇。,,
軫,文,8,辰,軫文8辰,4.0,朔風凜凜正仲冬，雪裡梅花枝更香。生辰正是十一月，二十四日君降生。,,
軫,文,10,申,軫文10申,9.0,草木凋殘小春天，朔風吹動雪花天。閏十月生十二日，靈胎出世母子安。,,
軫,文,10,辰,軫文10辰,10.0,棠棣開花滿園香，生逢六刻各芬芳。兄弟七人先去父，中間定有石皮傷。,,
軫,文,12,申,軫文12申,2.0,水蚓交纏文曲星，時逢五刻四子成。內中定主有石皮，暮景豐盈福祿增。,,
